Title,Year,Runtime,Genre,IMDB Rating,Grosses,Action,Adventure,Fantasy,Drama,Romance,Sci-Fi,Animation,Crime,Thriller,Comedy,Family,Biography,Music,History,Mystery,Horror,Musical,War,Western,Sport,Documentary
Thor: Ragnarok,(2017),130,"['Action', 'Adventure', 'Comedy']",7.9,853983879,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

The Twilight Saga: Breaking Dawn - Part 2,(2012),115,"['Adventure', 'Drama', 'Fantasy']",5.5,848853382,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Inception,(2010),148,"['Action', 'Adventure', 'Sci-Fi']",8.8,836848102,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Transformers: Revenge of the Fallen,(2009),149,"['Action', 'Adventure', 'Sci-Fi']",5.9,836303693,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Spider-Man,(2002),121,"['Action', 'Adventure', 'Sci-Fi']",7.4,825025036,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Black Panther: Wakanda Forever,(2022),161,"['Action', 'Adventure', 'Drama']",6.7,823221911,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Wonder Woman,(2017),141,"['Action', 'Adventure', 'Fantasy']",7.4,822854286,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"Ni hao, Li Huanying",(2021),128,"['Comedy', 'Romance']",7,822009764,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Independence Day,(1996),145,"['Action', 'Adventure', 'Sci-Fi']",7,817400891,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Fantastic Beasts and Where to Find Them,(2016),132,"['Adventure', 'Family', 'Fantasy']",7.2,814044001,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Shrek the Third,(2007),93,"['Animation', 'Adventure', 'Comedy']",6.1,813367380,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Coco,(I) (2017),105,"['Animation', 'Adventure', 'Comedy']",8.4,807817888,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Jumanji: The Next Level,(2019),123,"['Action', 'Adventure', 'Comedy']",6.7,801693929,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Harry Potter and the Prisoner of Azkaban,(2004),142,"['Adventure', 'Family', 'Fantasy']",7.9,797660766,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Pirates of the Caribbean: Dead Men Tell No Tales,(2017),129,"['Action', 'Adventure', 'Fantasy']",6.5,794881442,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

