Title,Year,Runtime,Genre,IMDB Rating,Grosses
How to Train Your Dragon 2,(2014),102,"['Animation', 'Action', 'Adventure']",7.8,621537519

Logan,(2017),137,"['Action', 'Drama', 'Sci-Fi']",8.1,619179950

The Lost World: Jurassic Park,(1997),129,"['Action', 'Adventure', 'Sci-Fi']",6.5,618638999

Casino Royale,(2006),144,"['Action', 'Adventure', 'Thriller']",8,616505162

The Passion of the Christ,(2004),127,['Drama'],7.2,612054506

Life of Pi,(2012),127,"['Adventure', 'Drama', 'Fantasy']",7.9,609016565

Transformers: The Last Knight,(2017),154,"['Action', 'Adventure', 'Sci-Fi']",5.2,605425157

Madagascar: Escape 2 Africa,(2008),89,"['Animation', 'Adventure', 'Comedy']",6.6,603900354

War of the Worlds,(2005),116,"['Action', 'Adventure', 'Sci-Fi']",6.5,603873119

Tangled,(2010),100,"['Animation', 'Adventure', 'Comedy']",7.7,592462816

Ready Player One,(2018),140,"['Action', 'Adventure', 'Sci-Fi']",7.4,592241728

Quantum of Solace,(2008),106,"['Action', 'Adventure', 'Mystery']",6.6,589580482

Men in Black,(1997),98,"['Action', 'Adventure', 'Comedy']",7.3,589390539

The Croods,(2013),98,"['Animation', 'Action', 'Adventure']",7.2,587235983

The Hangover Part II,(2011),102,['Comedy'],6.5,586764305

Iron Man,(2008),126,"['Action', 'Adventure', 'Sci-Fi']",7.9,585796247

I Am Legend,(2007),101,"['Action', 'Drama', 'Horror']",7.2,585410052

"Monsters, Inc.",(2001),92,"['Animation', 'Adventure', 'Comedy']",8.1,579707738

Hong hai xing dong,(2018),142,"['Action', 'Drama', 'Thriller']",6.6,579330426

Night at the Museum,(2006),108,"['Adventure', 'Comedy', 'Family']",6.4,574481229

Fifty Shades of Grey,(2015),125,"['Drama', 'Romance', 'Thriller']",4.2,569651467

Kong: Skull Island,(2017),118,"['Action', 'Adventure', 'Fantasy']",6.6,566652812

The Smurfs,(2011),103,"['Animation', 'Adventure', 'Comedy']",5.4,563749323

Cars 2,(2011),106,"['Animation', 'Adventure', 'Comedy']",6.2,559852396

King Kong,(2005),187,"['Action', 'Adventure', 'Drama']",7.2,556906378

Puss in Boots,(2011),90,"['Animation', 'Adventure', 'Comedy']",6.6,554987477

Mei ren yu,(2016),94,"['Comedy', 'Drama', 'Fantasy']",6.2,553810228

Armageddon,(1998),151,"['Action', 'Adventure', 'Sci-Fi']",6.7,553709788

The Day After Tomorrow,(2004),124,"['Action', 'Adventure', 'Sci-Fi']",6.4,552639571

Ted,(2012),106,['Comedy'],6.9,549368315

American Sniper,(2014),133,"['Action', 'Biography', 'Drama']",7.3,547459020

Mission: Impossible II,(2000),123,"['Action', 'Adventure', 'Thriller']",6.1,546388108

Tang ren jie tan an 2,(2018),121,"['Action', 'Comedy', 'Mystery']",6.1,544185156

X-Men: Apocalypse,(2016),144,"['Action', 'Adventure', 'Sci-Fi']",6.9,543934105

Sherlock Holmes: A Game of Shadows,(2011),129,"['Action', 'Adventure', 'Mystery']",7.4,543848418

Despicable Me,(2010),95,"['Animation', 'Adventure', 'Comedy']",7.6,543157985

Cinderella,(I) (2015),105,"['Adventure', 'Drama', 'Family']",6.9,542358331

Madagascar,(2005),86,"['Animation', 'Adventure', 'Comedy']",6.9,542063846

World War Z,(2013),116,"['Action', 'Adventure', 'Horror']",7,540455876

Brave,(2012),93,"['Animation', 'Adventure', 'Comedy']",7.1,538983207

The Empire Strikes Back,(1980),124,"['Action', 'Adventure', 'Fantasy']",8.7,538375067

The Simpsons Movie,(2007),87,"['Animation', 'Adventure', 'Comedy']",7.3,536414293

The Revenant,(2015),156,"['Action', 'Adventure', 'Drama']",8,532950503

The Meg,(2018),113,"['Action', 'Horror', 'Sci-Fi']",5.6,530517320

Ralph Breaks the Internet,(2018),112,"['Animation', 'Adventure', 'Comedy']",7,529323962

Hotel Transylvania 3: Summer Vacation,(2018),97,"['Animation', 'Adventure', 'Comedy']",6.3,528583774

The Boss Baby,(2017),97,"['Animation', 'Adventure', 'Comedy']",6.3,527965936

Dunkirk,(2017),106,"['Action', 'Drama', 'History']",7.8,527016307

The Grinch,(2018),85,"['Animation', 'Comedy', 'Family']",6.4,526760632

Godzilla,(2014),123,"['Action', 'Adventure', 'Sci-Fi']",6.4,524976069

How to Train Your Dragon: The Hidden World,(2019),104,"['Animation', 'Action', 'Adventure']",7.4,524580592

Sherlock Holmes,(2009),128,"['Action', 'Adventure', 'Mystery']",7.6,524028679

Meet the Fockers,(2004),115,"['Comedy', 'Romance']",6.3,522657936

WALL·E,(2008),98,"['Animation', 'Adventure', 'Family']",8.4,521311890

Kung Fu Panda 3,(2016),95,"['Animation', 'Action', 'Adventure']",7.1,521170825

Terminator 2: Judgment Day,(1991),137,"['Action', 'Sci-Fi']",8.6,520881154

Ant-Man,(2015),117,"['Action', 'Comedy', 'Sci-Fi']",7.3,519311965

Venom: Let There Be Carnage,(2021),97,"['Action', 'Sci-Fi', 'Thriller']",5.9,506863592

Ghost,(1990),127,"['Drama', 'Fantasy', 'Romance']",7.1,505703557

Aladdin,(1992),90,"['Animation', 'Adventure', 'Comedy']",8,504050219

Gladiator,(2000),155,"['Action', 'Adventure', 'Drama']",8.5,503162313

Rio 2,(2014),101,"['Animation', 'Adventure', 'Comedy']",6.3,498781117

Troy,(2004),163,['Drama'],7.3,497409852

Toy Story 2,(1999),92,"['Animation', 'Adventure', 'Comedy']",7.9,497375381

How to Train Your Dragon,(2010),98,"['Animation', 'Action', 'Adventure']",8.1,494879471

Twister,(I) (1996),113,"['Action', 'Adventure', 'Thriller']",6.4,494580615

Oz the Great and Powerful,(2013),130,"['Adventure', 'Family', 'Fantasy']",6.3,493311825

Clash of the Titans,(2010),106,"['Action', 'Adventure', 'Fantasy']",5.8,493214993

Maleficent: Mistress of Evil,(2019),119,"['Adventure', 'Family', 'Fantasy']",6.6,491730089

War for the Planet of the Apes,(2017),140,"['Action', 'Adventure', 'Drama']",7.4,490719763

Shrek,(2001),90,"['Animation', 'Adventure', 'Comedy']",7.9,488351320

Mr. & Mrs. Smith,(2005),120,"['Action', 'Comedy', 'Crime']",6.5,487287646

Angels & Demons,(2009),138,"['Action', 'Mystery', 'Thriller']",6.7,485930816

Teenage Mutant Ninja Turtles,(2014),101,"['Action', 'Adventure', 'Comedy']",5.8,485004754

Bruce Almighty,(2003),101,"['Comedy', 'Fantasy']",6.8,484592874

Rio,(2011),96,"['Animation', 'Adventure', 'Comedy']",6.9,483866772

Saving Private Ryan,(1998),169,"['Drama', 'War']",8.6,482349603

Rise of the Planet of the Apes,(2011),105,"['Action', 'Drama', 'Sci-Fi']",7.6,481800873

Home Alone,(1990),103,"['Comedy', 'Family']",7.7,476684675

Jaws,(1975),124,"['Adventure', 'Mystery', 'Thriller']",8.1,476512065

Hotel Transylvania 2,(2015),89,"['Animation', 'Adventure', 'Comedy']",6.6,475186706

Star Wars: Episode VI - Return of the Jedi,(1983),131,"['Action', 'Adventure', 'Fantasy']",8.3,475106177

